CustomerId,Profit,Recency,Frequency,Monetary,Variance,labels,Type
697,49,14,7,373.6,3,3,New customer
698,417,7,9,24404.75,23,3,New customer
699,177,5,14,2291.94,11,3,New customer
700,94,55,2,2451.87,4,1,Inactive customer
701,536,5,13,24344.84,25,3,New customer
702,355,7,13,7441.68,11,3,New customer
703,154,10,4,2921.74,8,3,New customer
704,87,56,5,1863.75,6,1,Inactive customer
705,2963,3,41,71831.96,43,0,Regular customer
706,300,4,2,6999.14,3,3,New customer
707,52,12,6,1131.18,6,3,New customer
708,153,13,13,2812.06,21,3,New customer
709,72,5,11,2695.89,9,3,New customer
710,58,40,5,560.23,6,1,Inactive customer
711,49,5,7,585.05,7,3,New customer
712,410,6,15,12652.32,37,0,Regular customer
713,540,16,14,22534.92,14,3,New customer
714,212,3,11,5591.82,15,3,New customer
715,931,5,13,31876.83,38,0,Regular customer
716,194,5,8,6583.0,13,3,New customer
717,799,11,7,13767.12,15,3,New customer
718,12,6,2,182.24,2,3,New customer
719,148,7,15,2974.93,12,3,New customer
720,69,4,6,3292.09,9,3,New customer
721,303,7,5,3701.02,9,3,New customer
722,50,35,3,2706.79,7,1,Inactive customer
723,30,88,1,427.66,2,1,Inactive customer
724,54,2,3,1036.29,3,3,New customer
725,294,6,12,17959.06,25,3,New customer
726,39,24,4,689.98,7,3,New customer
727,607,6,14,9282.66,15,3,New customer
728,151,10,10,2500.82,12,3,New customer
729,68,2,6,595.58,2,3,New customer
730,2684,46,4,39361.26,7,1,Inactive customer
731,100,3,2,565.69,2,3,New customer
732,946,10,17,28362.6,23,0,Regular customer
733,59,30,11,1214.61,8,3,New customer
734,61,12,10,1216.07,6,3,New customer
735,81,5,2,1303.58,4,3,New customer
736,437,11,8,19620.17,24,3,New customer
737,954,3,26,19262.05,32,0,Regular customer
738,139,7,14,3339.0,8,3,New customer
739,143,7,3,3724.87,6,3,New customer
740,101,9,4,1965.65,8,3,New customer
741,90,3,10,3868.92,12,3,New customer
742,284,7,11,12529.15,15,3,New customer
743,4,3,1,37.74,1,3,New customer
744,1169,6,11,83941.07,43,0,Regular customer
745,877,3,13,41848.83,40,0,Regular customer
746,432,1,3,13924.72,10,3,New customer
747,1255,5,14,43522.34,45,0,Regular customer
748,78,4,8,1275.44,7,3,New customer
749,499,4,24,30801.35,24,0,Regular customer
750,243,5,12,8967.4,21,3,New customer
751,270,7,19,8006.09,15,3,New customer
752,72,6,9,2246.53,11,3,New customer
753,204,17,7,4669.45,16,3,New customer
754,35,3,14,483.92,4,3,New customer
755,300,4,2,6999.14,3,3,New customer
756,65,7,11,904.14,7,3,New customer
757,300,4,2,6999.14,3,3,New customer
758,10,25,1,56.03,1,3,New customer
759,839,5,13,64598.08,21,3,New customer
760,1386,4,29,50410.74,39,0,Regular customer
761,352,18,2,13366.85,12,3,New customer
762,29,7,7,415.96,4,3,New customer
763,1259,3,9,67930.2,31,3,New customer
764,35,2,16,718.11,7,3,New customer
765,99,5,2,4103.49,7,3,New customer
766,643,12,13,47816.01,38,0,Regular customer
767,680,51,1,3399.66,1,1,Inactive customer
768,115,2,11,3170.0,11,3,New customer
